dist,walk,ride,bike,car,pt
16900,0.0,0.05979056964774861,0.0033277116411511453,0.7914220053548117,0.14545971335628866
17000,0.0,0.060467580262956934,0.0038108900601628807,0.7918910881031873,0.14383044157369282
17100,0.0,0.06061311828113084,0.009243767332200272,0.7891374678598609,0.14100564652680794
17200,0.0,0.0604738002144598,0.01753099213433707,0.7835857435556606,0.13840946409554256
17300,0.0,0.06009996970773736,0.026618830268260847,0.7762899301666577,0.13699126985734408
17400,0.0,0.05931087983257052,0.03284886092877579,0.6890631755313961,0.21877708370725774
17500,0.0,0.05823582912090684,0.028392807129364393,0.4372073133798475,0.47616405036988124
17600,0.0,0.05734596675546437,0.021965726709685624,0.23789158178364272,0.6827967247512071
17700,0.0,0.05685117368522893,0.0177078376104541,0.143510602360162,0.7819303863441549
17800,0.0,0.05678889671316543,0.014388039461617437,0.1274396447710363,0.8013834190541808
17900,0.0,0.05686514923980045,0.011364944046245528,0.12931044086113705,0.8024594658528169
18000,0.0,0.05702009661954504,0.007774928207211826,0.13055895053622585,0.8046460246370173
18100,0.0,0.057239348301517085,0.003755986581253938,0.1312646437184926,0.8077400213987365
18200,0.0,0.05719992841645617,0.000789605956746588,0.13482672272785992,0.8071837428989374
18300,0.0,0.056202107261494626,0.0,0.14860768681811898,0.7951902059203865
18400,0.0,0.06577787740554138,0.0,0.22912969086575832,0.7050924317287003
